Focal Document Element,Focal Document Element Description,Rationale,Relationship,Reference Document Element,Reference Document Element Description,Fulfilled By (Y/N),Group Identifier (optional),Comments (optional),Strength of Relationship (optional)
ASSET-1a,"IT and OT assets that are important to the delivery of the function are inventoried, at least in an ad hoc manner",Semantic,intersects with,ID.AM-1,Physical devices and systems within the organization are inventoried,Y,ASSET-1a:G1,,6
ASSET-1a,"IT and OT assets that are important to the delivery of the function are inventoried, at least in an ad hoc manner",Semantic,intersects with,ID.AM-2,Software platforms and applications within the organization are inventoried,Y,ASSET-1a:G1,,6
ASSET-1a,"IT and OT assets that are important to the delivery of the function are inventoried, at least in an ad hoc manner",Semantic,intersects with,ID.AM-4,External information systems are catalogued,Y,ASSET-1a:G1,,6
ASSET-1a,"IT and OT assets that are important to the delivery of the function are inventoried, at least in an ad hoc manner",Semantic,intersects with,PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition",N,,,4
ASSET-1b,The IT and OT asset inventory includes assets within the function that may be leveraged to achieve a threat objective,Semantic,intersects with,ID.AM-1,Physical devices and systems within the organization are inventoried,Y,ASSET-1b:G1,,7
ASSET-1b,The IT and OT asset inventory includes assets within the function that may be leveraged to achieve a threat objective,Semantic,intersects with,ID.AM-2,Software platforms and applications within the organization are inventoried,Y,ASSET-1b:G1,,7
ASSET-1b,The IT and OT asset inventory includes assets within the function that may be leveraged to achieve a threat objective,Semantic,intersects with,ID.AM-4,External information systems are catalogued,Y,ASSET-1b:G1,,7
ASSET-1c,Inventoried IT and OT assets are prioritized based on defined criteria that include importance to the delivery of the function,Semantic,intersects with,ID.AM-5,"Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value",N,,,6
ASSET-1d,Prioritization criteria include consideration of the degree to which an asset within the function may be leveraged to achieve a threat objective,Semantic,intersects with,ID.AM-5,"Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value",N,,,3
ASSET-1e,"The IT and OT inventory includes attributes that support cybersecurity activities (for example, location, asset priority, asset owner, operating system, and firmware versions)",,not related to,,,N,,,0
ASSET-1f,The IT and OT asset inventory is complete (the inventory includes all assets within the function),Semantic,superset of,ID.AM-1,Physical devices and systems within the organization are inventoried,Y,ASSET-1f:G1,,7
ASSET-1f,The IT and OT asset inventory is complete (the inventory includes all assets within the function),Semantic,superset of,ID.AM-2,Software platforms and applications within the organization are inventoried,Y,ASSET-1f:G1,,7
ASSET-1f,The IT and OT asset inventory is complete (the inventory includes all assets within the function),Semantic,superset of,ID.AM-4,External information systems are catalogued,Y,ASSET-1f:G1,,7
ASSET-1f,The IT and OT asset inventory is complete (the inventory includes all assets within the function),Semantic,intersects with,PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition",N,,,4
ASSET-1g,"The IT and OT asset inventory is current, that is, it is updated periodically and according to defined triggers, such as system changes",Semantic,intersects with,ID.AM-1,Physical devices and systems within the organization are inventoried,N,,,7
ASSET-1g,"The IT and OT asset inventory is current, that is, it is updated periodically and according to defined triggers, such as system changes",Semantic,intersects with,ID.AM-2,Software platforms and applications within the organization are inventoried,N,,,7
ASSET-1g,"The IT and OT asset inventory is current, that is, it is updated periodically and according to defined triggers, such as system changes",Semantic,intersects with,ID.AM-4,External information systems are catalogued,N,,,7
ASSET-1g,"The IT and OT asset inventory is current, that is, it is updated periodically and according to defined triggers, such as system changes",Semantic,intersects with,PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition",N,,,5
ASSET-1h,Data is destroyed or securely removed from IT and OT assets prior to redeployment and at end of life,Semantic,intersects with,PR.DS-1,Data-at-rest is protected,N,,,4
ASSET-1h,Data is destroyed or securely removed from IT and OT assets prior to redeployment and at end of life,Semantic,intersects with,PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition",N,,,4
ASSET-1h,Data is destroyed or securely removed from IT and OT assets prior to redeployment and at end of life,Semantic,intersects with,PR.DS-5,Protections against data leaks are implemented,N,,,4
ASSET-1h,Data is destroyed or securely removed from IT and OT assets prior to redeployment and at end of life,Functional,subset of,PR.IP-2,A System Development Life Cycle to manage systems is implemented,Y,,,3
ASSET-1h,Data is destroyed or securely removed from IT and OT assets prior to redeployment and at end of life,Semantic,subset of,PR.IP-6,Data is destroyed according to policy,Y,,,8
ASSET-2a,"Information assets that are important to the delivery of the function (for example, SCADA set points and customer information) are inventoried, at least in an ad hoc manner",Semantic,intersects with,ID.AM-4,External information systems are catalogued,N,,,5
ASSET-2a,"Information assets that are important to the delivery of the function (for example, SCADA set points and customer information) are inventoried, at least in an ad hoc manner",Semantic,intersects with,PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition",N,,,3
ASSET-2b,The information asset inventory includes information assets within the function that may be leveraged to achieve a threat objective,Semantic,intersects with,ID.AM-4,External information systems are catalogued,N,,,5
ASSET-2c,Inventoried information assets are categorized based on defined criteria that includes importance to the delivery of the function,Semantic,intersects with,ID.AM-5,"Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value",N,,,6
ASSET-2d,Categorization criteria include consideration of the degree to which an asset within the function may be leveraged to achieve a threat objective,Semantic,intersects with,ID.AM-5,"Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value",N,,,3
ASSET-2e,"The information asset inventory includes attributes that support cybersecurity activities (for example, asset category, backup locations and frequencies, storage locations, asset owner, cybersecurity requirements)",,not related to,,,N,,,0
ASSET-2f,The information asset inventory is complete (the inventory includes all assets within the function),Semantic,intersects with,ID.AM-4,External information systems are catalogued,N,,,5
ASSET-2f,The information asset inventory is complete (the inventory includes all assets within the function),Semantic,intersects with,PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition",N,,,4
ASSET-2g,"The information asset inventory is current, that is, it is updated periodically and according to defined triggers, such as system changes",Semantic,intersects with,PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition",N,,,8
ASSET-2h,Information assets are sanitized or destroyed at end of life using techniques appropriate to their cybersecurity requirements,Functional,intersects with,PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition",N,,,4
ASSET-2h,Information assets are sanitized or destroyed at end of life using techniques appropriate to their cybersecurity requirements,Semantic,intersects with,PR.DS-5,Protections against data leaks are implemented,N,,,6
ASSET-2h,Information assets are sanitized or destroyed at end of life using techniques appropriate to their cybersecurity requirements,Functional,subset of,PR.IP-2,A System Development Life Cycle to manage systems is implemented,Y,,,3
ASSET-2h,Information assets are sanitized or destroyed at end of life using techniques appropriate to their cybersecurity requirements,Semantic,subset of,PR.IP-6,Data is destroyed according to policy,Y,,,8
ASSET-3a,"Configuration baselines are established, at least in an ad hoc manner",Semantic,subset of,PR.IP-1,A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),Y,,,8
ASSET-3a,"Configuration baselines are established, at least in an ad hoc manner",Semantic,intersects with,PR.IP-3,Configuration change control processes are in place,N,,,4
ASSET-3b,Configuration baselines are used to configure assets at deployment and restoration,Semantic,intersects with,PR.IP-3,Configuration change control processes are in place,N,,,4
ASSET-3c,Configuration baselines incorporate applicable requirements from the cybersecurity architecture (ARCHITECTURE-1f),Semantic,intersects with,PR.IP-1,A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),N,,,7
ASSET-3c,Configuration baselines incorporate applicable requirements from the cybersecurity architecture (ARCHITECTURE-1f),Semantic,intersects with,PR.IP-3,Configuration change control processes are in place,N,,,4
ASSET-3c,Configuration baselines incorporate applicable requirements from the cybersecurity architecture (ARCHITECTURE-1f),Semantic,intersects with,PR.PT-3,The principle of least functionality is incorporated by configuring systems to provide only essential capabilities,N,,,8
ASSET-3d,"Configuration baselines are reviewed and updated periodically and according to defined triggers, such as system changes and changes to the cybersecurity architecture",Semantic,intersects with,PR.IP-1,A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),N,,,6
ASSET-3d,"Configuration baselines are reviewed and updated periodically and according to defined triggers, such as system changes and changes to the cybersecurity architecture",Semantic,intersects with,PR.IP-3,Configuration change control processes are in place,N,,,4
ASSET-3e,Asset configurations are monitored for consistency with baselines throughout the assets' lifecycles,Semantic,intersects with,PR.IP-2,A System Development Life Cycle to manage systems is implemented,N,,,2
ASSET-3e,Asset configurations are monitored for consistency with baselines throughout the assets' lifecycles,Semantic,intersects with,PR.IP-3,Configuration change control processes are in place,N,,,6
